epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,386.986083984375,,
0,5,,,,,,145063.59375,237.68524169921875
0,5,,,715415.25,561.4573364257812,,,
1,9,,,,,273.8438720703125,,
1,11,,,,,,131679.765625,236.43270874023438
1,11,,,160950.921875,255.311279296875,,,
2,14,,,,,172.90916442871094,,
2,17,,,,,,134666.890625,236.62631225585938
2,17,,,178127.125,260.60455322265625,,,
3,19,,,,,275.8006591796875,,
3,23,,,,,,123138.78125,243.05516052246094
3,23,,,166257.6875,257.443359375,,,
4,24,,,,,225.44509887695312,,
4,29,,,,,307.94244384765625,,
4,29,,,,,,122530.0546875,245.79354858398438
4,29,,,163028.0625,257.68463134765625,,,
5,34,,,,,220.17562866210938,,
5,35,,,,,,165144.5,297.5544128417969
5,35,,,150444.046875,255.81256103515625,,,
6,39,,,,,326.6078186035156,,
6,41,,,,,,126539.5,259.1667175292969
6,41,,,169398.0625,284.8157043457031,,,
7,44,,,,,223.18589782714844,,
7,47,,,,,,159280.59375,270.1218566894531
7,47,,,144211.46875,254.54368591308594,,,
8,49,,,,,255.69473266601562,,
8,53,,,,,,142677.765625,258.9345397949219
8,53,,,140675.8125,247.3400421142578,,,
9,54,,,,,233.92031860351562,,
9,59,,,,,291.3975830078125,,
9,59,,,,,,124864.28125,257.60107421875
9,59,,,149062.609375,253.3755645751953,,,
10,64,,,,,200.06741333007812,,
10,65,,,,,,137412.359375,254.96510314941406
10,65,,,122147.875,233.3681182861328,,,
11,69,,,,,241.26280212402344,,
11,71,,,,,,151734.234375,265.9043273925781
11,71,,,140882.75,240.98260498046875,,,
12,74,,,,,233.3733367919922,,
12,77,,,,,,161223.46875,303.43487548828125
12,77,,,155584.390625,262.3018493652344,,,
13,79,,,,,304.5100402832031,,
13,83,,,,,,131061.0078125,249.78839111328125
13,83,,,173899.9375,272.5399475097656,,,
14,84,,,,,260.7254333496094,,
14,89,,,,,364.27044677734375,,
14,89,,,,,,126509.6953125,250.2177276611328
14,89,,,140669.828125,255.00746154785156,,,
15,94,,,,,228.98233032226562,,
15,95,,,,,,130326.7265625,249.27548217773438
15,95,,,147641.90625,253.42991638183594,,,
16,99,,,,,275.79388427734375,,
16,101,,,,,,121073.546875,249.176513671875
16,101,,,153676.65625,257.9370422363281,,,
17,104,,,,,234.09353637695312,,
17,107,,,,,,130414.671875,251.43638610839844
17,107,,,136450.28125,246.55535888671875,,,
18,109,,,,,186.2970428466797,,
18,113,,,,,,129382.15625,267.25732421875
18,113,,,154907.140625,258.53179931640625,,,
19,114,,,,,324.2638244628906,,
19,119,,,,,274.89324951171875,,
19,119,,,,,,146897.640625,286.56378173828125
19,119,,,119403.359375,241.43136596679688,,,
20,124,,,,,188.05377197265625,,
20,125,,,,,,124054.125,247.76048278808594
20,125,,,143236.890625,257.5712890625,,,
21,129,,,,,205.62887573242188,,
21,131,,,,,,138248.453125,256.2023620605469
21,131,,,134268.859375,242.569091796875,,,
22,134,,,,,216.28526306152344,,
22,137,,,,,,121848.4453125,256.43402099609375
22,137,,,130172.4921875,240.00704956054688,,,
23,139,,,,,199.2903594970703,,
23,143,,,,,,144425.25,289.45355224609375
23,143,,,141140.625,241.2065887451172,,,
24,144,,,,,258.8630065917969,,
24,149,,,,,316.6322326660156,,
24,149,,,,,,117662.59375,249.48228454589844
24,149,,,139438.296875,255.2156219482422,,,
25,154,,,,,251.430419921875,,
25,155,,,,,,129531.3203125,247.48475646972656
25,155,,,115766.421875,235.7288360595703,,,
26,159,,,,,181.1637420654297,,
26,161,,,,,,122594.3203125,255.49559020996094
26,161,,,116741.78125,229.23239135742188,,,
27,164,,,,,332.54754638671875,,
27,167,,,,,,120526.796875,239.74639892578125
27,167,,,165156.5,279.32086181640625,,,
28,169,,,,,216.4071044921875,,
28,173,,,,,,117155.1953125,240.08641052246094
28,173,,,129157.2109375,236.5336151123047,,,
29,174,,,,,263.6079406738281,,
29,179,,,,,207.19407653808594,,
29,179,,,,,,118071.25,237.91299438476562
29,179,,,126243.84375,233.0614013671875,,,
30,184,,,,,277.3965148925781,,
30,185,,,,,,113508.8671875,242.1868133544922
30,185,,,110427.703125,234.91973876953125,,,
31,189,,,,,309.7832336425781,,
31,191,,,,,,115129.6484375,238.96990966796875
31,191,,,157835.640625,262.1488037109375,,,
32,194,,,,,278.0100402832031,,
32,197,,,,,,126245.84375,246.54371643066406
32,197,,,130559.3828125,232.61756896972656,,,
33,199,,,,,220.89573669433594,,
33,203,,,,,,114931.796875,230.42471313476562
33,203,,,129828.609375,240.99131774902344,,,
34,204,,,,,162.48536682128906,,
34,209,,,,,212.04635620117188,,
34,209,,,,,,115960.3671875,234.58935546875
34,209,,,135628.921875,237.09446716308594,,,
35,214,,,,,253.19873046875,,
35,215,,,,,,111678.09375,227.34010314941406
35,215,,,112973.0625,215.77706909179688,,,
36,219,,,,,252.94302368164062,,
36,221,,,,,,143106.265625,250.3428192138672
36,221,,,130526.1796875,235.88873291015625,,,
37,224,,,,,224.23797607421875,,
37,227,,,,,,135920.328125,244.7956085205078
37,227,,,137456.234375,245.51742553710938,,,
38,229,,,,,245.49652099609375,,
38,233,,,,,,107365.1171875,239.95533752441406
38,233,,,119372.8359375,230.76614379882812,,,
39,234,,,,,250.97808837890625,,
39,239,,,,,199.40931701660156,,
39,239,,,,,,102426.09375,217.95091247558594
39,239,,,101171.671875,220.84933471679688,,,
40,244,,,,,219.94033813476562,,
40,245,,,,,,111266.4765625,222.0341339111328
40,245,,,113683.8984375,225.58299255371094,,,
41,249,,,,,207.25698852539062,,
41,251,,,,,,109882.3046875,220.71649169921875
41,251,,,112247.2265625,219.19500732421875,,,
42,254,,,,,179.76083374023438,,
42,257,,,,,,96417.3203125,224.04803466796875
42,257,,,94067.859375,212.2409210205078,,,
43,259,,,,,196.39431762695312,,
43,263,,,,,,98547.6953125,225.19346618652344
43,263,,,147602.65625,252.0951385498047,,,
44,264,,,,,193.59518432617188,,
44,269,,,,,191.9988555908203,,
44,269,,,,,,94222.140625,211.94854736328125
44,269,,,112292.171875,226.01182556152344,,,
45,274,,,,,219.9200897216797,,
45,275,,,,,,104263.078125,215.21360778808594
45,275,,,97885.5859375,213.7153778076172,,,
46,279,,,,,176.6936798095703,,
46,281,,,,,,132240.921875,276.9994812011719
46,281,,,131006.375,230.00067138671875,,,
47,284,,,,,193.14007568359375,,
47,287,,,,,,101768.8203125,226.17408752441406
47,287,,,141455.75,256.12811279296875,,,
48,289,,,,,255.47824096679688,,
48,293,,,,,,121186.953125,263.98388671875
48,293,,,89826.859375,205.27108764648438,,,
49,294,,,,,338.38446044921875,,
49,299,,,,,198.86727905273438,,
49,299,,,,,,104098.546875,229.50115966796875
49,299,,,108526.796875,236.13345336914062,,,
50,300,104098.546875,229.50115966796875,,,,,
